date,open,high,low,close,volume,average,barCount
2025-04-28 09:30:00-04:00,401.8,404.17,401.8,403.95,109769.0,403.08,687
2025-04-28 09:45:00-04:00,403.96,404.01,401.96,402.04,80485.0,403.229,501
2025-04-28 10:00:00-04:00,401.93,402.78,401.76,402.66,50434.0,402.442,183
2025-04-28 10:15:00-04:00,402.53,403.5,402.52,402.77,30172.0,403.068,156
2025-04-28 10:30:00-04:00,402.8,402.93,401.83,402.85,44298.0,402.409,228
2025-04-28 10:45:00-04:00,402.85,403.1,402.35,402.51,13069.0,402.821,61
2025-04-28 11:00:00-04:00,402.4,402.67,401.7,402.36,46987.0,402.027,198
2025-04-28 11:15:00-04:00,402.22,402.22,400.68,400.69,46584.0,401.421,197
2025-04-28 11:30:00-04:00,400.76,401.3,400.36,400.82,26182.0,400.789,173
2025-04-28 11:45:00-04:00,400.74,401.16,400.39,400.53,12640.0,400.72,95
2025-04-28 12:00:00-04:00,400.5,400.52,399.77,399.85,22000.0,400.014,109
2025-04-28 12:15:00-04:00,400.0,400.3,399.45,399.65,16955.0,399.966,104
2025-04-28 12:30:00-04:00,399.72,400.2,399.65,400.08,15444.0,399.957,90
2025-04-28 12:45:00-04:00,400.06,400.42,399.43,399.72,18755.0,399.899,125
2025-04-28 13:00:00-04:00,399.7,399.88,399.06,399.1,13930.0,399.356,91
2025-04-28 13:15:00-04:00,399.1,399.58,398.88,398.94,13592.0,399.149,74
2025-04-28 13:30:00-04:00,398.89,399.77,398.72,399.75,22295.0,399.16,107
2025-04-28 13:45:00-04:00,399.65,400.5,399.62,400.44,6914.0,400.05,39
2025-04-28 14:00:00-04:00,400.42,400.74,400.29,400.41,77413.0,400.502,292
2025-04-28 14:15:00-04:00,400.43,401.07,400.15,400.86,35872.0,400.697,139
2025-04-28 14:30:00-04:00,400.93,400.99,400.61,400.76,7273.0,400.847,48
2025-04-28 14:45:00-04:00,400.66,401.13,400.66,400.98,21520.0,400.977,90
2025-04-28 15:00:00-04:00,400.93,401.77,400.93,401.75,21476.0,401.463,113
2025-04-28 15:15:00-04:00,401.69,402.35,401.69,402.15,18805.0,402.01,89
2025-04-28 15:30:00-04:00,402.09,402.32,401.59,402.14,31542.0,402.043,181
2025-04-28 15:45:00-04:00,402.19,403.18,402.15,402.22,111416.0,402.547,612
2025-04-29 09:30:00-04:00,402.4,403.81,402.29,403.5,119705.0,403.052,547
2025-04-29 09:45:00-04:00,403.46,404.36,403.44,403.69,39226.0,404.003,274
2025-04-29 10:00:00-04:00,403.67,404.67,403.06,403.86,47784.0,403.778,359
2025-04-29 10:15:00-04:00,403.85,403.88,402.2,402.39,100226.0,402.841,605
2025-04-29 10:30:00-04:00,402.41,404.07,402.36,403.91,27831.0,403.393,163
2025-04-29 10:45:00-04:00,403.86,405.08,403.86,405.07,62450.0,404.373,217
2025-04-29 11:00:00-04:00,405.09,405.23,404.34,404.67,38755.0,404.693,177
2025-04-29 11:15:00-04:00,404.66,404.92,403.9,404.77,26222.0,404.547,127
2025-04-29 11:30:00-04:00,404.81,404.87,403.76,404.86,29423.0,404.402,156
2025-04-29 11:45:00-04:00,404.92,404.93,404.02,404.14,20973.0,404.554,122
2025-04-29 12:00:00-04:00,404.18,405.32,404.07,405.19,11733.0,404.901,81
2025-04-29 12:15:00-04:00,405.28,405.28,404.85,405.13,9077.0,405.011,54
2025-04-29 12:30:00-04:00,405.02,405.2,404.47,404.75,11761.0,404.778,88
2025-04-29 12:45:00-04:00,404.73,404.75,403.28,403.59,32148.0,403.824,152
2025-04-29 13:00:00-04:00,403.61,403.88,403.36,403.88,30832.0,403.602,160
2025-04-29 13:15:00-04:00,403.84,404.75,403.84,404.71,18206.0,404.424,99
2025-04-29 13:30:00-04:00,404.72,405.41,404.59,405.39,26992.0,405.035,115
2025-04-29 13:45:00-04:00,405.33,406.17,405.24,405.83,83296.0,405.809,496
2025-04-29 14:00:00-04:00,405.93,406.32,405.63,405.72,29748.0,405.869,128
2025-04-29 14:15:00-04:00,405.84,406.0,405.32,405.82,27876.0,405.647,117
2025-04-29 14:30:00-04:00,405.79,406.06,405.61,405.82,59994.0,405.801,216
2025-04-29 14:45:00-04:00,405.74,405.78,405.34,405.42,22999.0,405.647,123
2025-04-29 15:00:00-04:00,405.43,406.15,405.43,405.9,39819.0,405.872,282
2025-04-29 15:15:00-04:00,405.93,406.08,405.64,405.91,38048.0,405.836,242
2025-04-29 15:30:00-04:00,405.94,405.94,405.37,405.61,31168.0,405.693,180
2025-04-29 15:45:00-04:00,405.54,406.22,405.04,405.13,132922.0,405.562,834
2025-04-30 09:30:00-04:00,402.43,402.43,398.48,398.92,192933.0,400.496,1395
2025-04-30 09:45:00-04:00,398.84,399.51,397.41,397.73,74577.0,398.519,474
2025-04-30 10:00:00-04:00,397.55,399.49,397.53,399.48,93563.0,398.629,583
2025-04-30 10:15:00-04:00,399.4,400.64,399.07,400.49,62926.0,399.676,395
2025-04-30 10:30:00-04:00,400.61,401.14,400.09,401.0,45756.0,400.666,307
2025-04-30 10:45:00-04:00,400.99,401.62,400.39,401.19,43015.0,401.057,198
2025-04-30 11:00:00-04:00,401.28,402.54,401.24,402.4,47752.0,401.862,218
2025-04-30 11:15:00-04:00,402.39,403.0,402.14,402.59,40095.0,402.487,175
2025-04-30 11:30:00-04:00,402.54,403.2,402.46,403.03,47061.0,402.802,296
2025-04-30 11:45:00-04:00,403.04,403.2,402.56,403.06,16322.0,402.897,106
2025-04-30 12:00:00-04:00,403.21,403.62,402.95,402.95,29094.0,403.227,150
2025-04-30 12:15:00-04:00,402.95,403.2,402.13,402.34,12718.0,402.643,69
2025-04-30 12:30:00-04:00,402.19,403.2,401.85,403.07,33506.0,402.482,204
2025-04-30 12:45:00-04:00,402.94,403.49,402.94,403.07,11220.0,403.126,59
2025-04-30 13:00:00-04:00,403.45,403.45,401.85,402.18,20853.0,402.666,119
2025-04-30 13:15:00-04:00,402.36,403.57,402.33,403.57,14072.0,402.976,60
2025-04-30 13:30:00-04:00,403.6,404.15,403.42,404.06,31663.0,403.901,195
2025-04-30 13:45:00-04:00,404.06,404.14,403.72,403.96,10366.0,403.943,50
2025-04-30 14:00:00-04:00,403.62,405.41,403.43,404.28,101794.0,404.534,814
2025-04-30 14:15:00-04:00,404.25,404.71,403.34,403.8,52214.0,403.849,334
2025-04-30 14:30:00-04:00,403.73,404.18,402.71,402.8,68925.0,403.486,353
2025-04-30 14:45:00-04:00,402.79,403.72,402.74,402.88,32548.0,403.149,226
2025-04-30 15:00:00-04:00,403.0,403.83,402.95,403.79,31558.0,403.451,266
2025-04-30 15:15:00-04:00,403.81,403.88,403.0,403.02,36815.0,403.578,271
2025-04-30 15:30:00-04:00,403.11,404.08,402.78,404.04,49808.0,403.397,269
2025-04-30 15:45:00-04:00,404.15,407.78,404.15,406.2,331659.0,406.436,1980
2025-05-01 09:30:00-04:00,408.48,409.1,407.59,408.64,160446.0,408.248,696
2025-05-01 09:45:00-04:00,408.53,409.46,407.88,408.05,79854.0,408.792,366
2025-05-01 10:00:00-04:00,408.27,409.48,408.09,409.03,129677.0,408.865,761
2025-05-01 10:15:00-04:00,409.09,410.02,408.99,409.85,43328.0,409.665,196
2025-05-01 10:30:00-04:00,409.87,410.02,409.05,409.65,47545.0,409.648,307
2025-05-01 10:45:00-04:00,409.58,410.42,409.56,410.39,32757.0,409.892,150
2025-05-01 11:00:00-04:00,410.33,410.54,409.89,410.45,26300.0,410.333,134
2025-05-01 11:15:00-04:00,410.47,410.93,410.39,410.62,81601.0,410.634,477
2025-05-01 11:30:00-04:00,410.69,410.71,409.88,409.9,24365.0,410.451,102
2025-05-01 11:45:00-04:00,409.96,409.98,408.34,408.69,29554.0,409.053,171
2025-05-01 12:00:00-04:00,408.74,409.3,408.45,408.64,24562.0,408.929,139
2025-05-01 12:15:00-04:00,408.55,408.56,407.85,408.37,39952.0,408.205,231
2025-05-01 12:30:00-04:00,408.3,408.73,408.0,408.43,14947.0,408.332,99
2025-05-01 12:45:00-04:00,408.26,408.3,407.73,407.85,26021.0,408.002,185
2025-05-01 13:00:00-04:00,407.97,409.13,407.97,409.07,17165.0,408.614,141
2025-05-01 13:15:00-04:00,409.11,409.47,408.92,409.07,11054.0,409.241,76
2025-05-01 13:30:00-04:00,409.14,409.5,408.24,408.24,17443.0,408.93,86
2025-05-01 13:45:00-04:00,408.35,408.81,408.3,408.5,4205.0,408.489,25
2025-05-01 14:00:00-04:00,408.53,409.32,408.5,409.3,16480.0,409.137,52
2025-05-01 14:15:00-04:00,409.33,409.56,408.7,409.26,33757.0,409.147,210
2025-05-01 14:30:00-04:00,409.22,409.49,409.22,409.44,6097.0,409.409,40
2025-05-01 14:45:00-04:00,409.45,409.69,409.01,409.06,28167.0,409.435,202
2025-05-01 15:00:00-04:00,408.97,409.35,408.65,409.08,23422.0,409.109,135
2025-05-01 15:15:00-04:00,409.06,409.5,408.97,409.44,12979.0,409.256,75
2025-05-01 15:30:00-04:00,409.45,409.57,408.96,409.17,35179.0,409.275,174
2025-05-01 15:45:00-04:00,409.21,409.81,407.02,407.41,223706.0,408.018,1297
2025-05-02 09:30:00-04:00,411.78,412.6,411.55,411.89,138344.0,412.137,847
2025-05-02 09:45:00-04:00,412.03,412.07,410.33,410.96,83780.0,411.063,567
2025-05-02 10:00:00-04:00,410.97,411.78,410.72,411.78,74442.0,411.199,537
2025-05-02 10:15:00-04:00,411.85,412.63,411.52,412.54,87234.0,412.065,381
2025-05-02 10:30:00-04:00,412.52,412.52,411.56,411.7,40884.0,411.963,211
2025-05-02 10:45:00-04:00,411.78,412.16,411.39,412.13,54055.0,411.812,274
2025-05-02 11:00:00-04:00,412.17,412.3,411.64,411.67,13760.0,412.051,102
2025-05-02 11:15:00-04:00,411.69,411.89,410.74,410.89,24331.0,411.295,167
2025-05-02 11:30:00-04:00,410.94,412.03,410.86,411.92,30163.0,411.515,195
2025-05-02 11:45:00-04:00,411.98,412.48,411.97,412.42,23569.0,412.292,130
2025-05-02 12:00:00-04:00,412.44,413.85,412.36,413.84,141217.0,413.091,923
2025-05-02 12:15:00-04:00,413.77,413.83,413.37,413.44,23285.0,413.607,143
2025-05-02 12:30:00-04:00,413.5,413.87,413.41,413.68,48336.0,413.641,283
2025-05-02 12:45:00-04:00,413.66,413.73,413.38,413.55,18517.0,413.616,146
2025-05-02 13:00:00-04:00,413.59,413.65,413.01,413.14,36991.0,413.266,190
2025-05-02 13:15:00-04:00,413.19,413.32,412.67,413.02,35207.0,413.018,203
2025-05-02 13:30:00-04:00,413.03,413.18,412.79,413.16,13725.0,412.967,126
